ind,year,p
        General merchandise stores,2017,96.049
        General merchandise stores,2018,94.215
        General merchandise stores,2019,97.797
        General merchandise stores,2020,94.814
        Other retail,2010,96.765
        Other retail,2011,98.125
        Other retail,2012,100.0
        Other retail,2013,102.838
        Other retail,2014,103.827
        Other retail,2015,104.739
        Other retail,2016,104.614
        Other retail,2017,105.06
        Other retail,2018,105.392
        Other retail,2019,107.223
        Other retail,2020,114.005
    Transportation and warehousing,2010,94.048
    Transportation and warehousing,2011,96.283
    Transportation and warehousing,2012,100.0
    Transportation and warehousing,2013,102.546
    Transportation and warehousing,2014,105.694
    Transportation and warehousing,2015,111.63
    Transportation and warehousing,2016,113.153
    Transportation and warehousing,2017,113.451
    Transportation and warehousing,2018,116.492
    Transportation and warehousing,2019,121.119
    Transportation and warehousing,2020,116.674
        Air transportation,2010,91.303
        Air transportation,2011,91.671
        Air transportation,2012,100.0
        Air transportation,2013,101.938
        Air transportation,2014,107.17
        Air transportation,2015,115.794
        Air transportation,2016,116.949
        Air transportation,2017,114.279
        Air transportation,2018,112.874
        Air transportation,2019,119.414
        Air transportation,2020,97.236
        Rail transportation,2010,88.078
        Rail transportation,2011,94.696
        Rail transportation,2012,100.0
        Rail transportation,2013,104.873
        Rail transportation,2014,108.091
        Rail transportation,2015,108.092
        Rail transportation,2016,106.368
        Rail transportation,2017,108.285
        Rail transportation,2018,111.139
        Rail transportation,2019,118.643
        Rail transportation,2020,124.047
        Water transportation,2010,120.801
        Water transportation,2011,109.493
        Water transportation,2012,100.0
        Water transportation,2013,99.154
        Water transportation,2014,107.351
        Water transportation,2015,126.395
        Water transportation,2016,125.146
        Water transportation,2017,139.659
        Water transportation,2018,151.086
        Water transportation,2019,156.959
        Water transportation,2020,99.347
        Truck transportation,2010,93.359
        Truck transportation,2011,95.805
        Truck transportation,2012,100.0
        Truck transportation,2013,102.465
        Truck transportation,2014,106.354
        Truck transportation,2015,113.672
        Truck transportation,2016,115.207
        Truck transportation,2017,114.351
        Truck transportation,2018,123.095
        Truck transportation,2019,127.593
        Truck transportation,2020,125.794
        Transit and ground passenger transportation,2010,94.443
        Transit and ground passenger transportation,2011,98.695
        Transit and ground passenger transportation,2012,100.0
        Transit and ground passenger transportation,2013,103.993
        Transit and ground passenger transportation,2014,104.101
        Transit and ground passenger transportation,2015,108.72
        Transit and ground passenger transportation,2016,112.102
        Transit and ground passenger transportation,2017,111.869
        Transit and ground passenger transportation,2018,108.996
        Transit and ground passenger transportation,2019,108.394
        Transit and ground passenger transportation,2020,104.173
        Pipeline transportation,2010,92.757
        Pipeline transportation,2011,97.679
        Pipeline transportation,2012,100.0
        Pipeline transportation,2013,107.975
        Pipeline transportation,2014,109.623
        Pipeline transportation,2015,109.336
        Pipeline transportation,2016,115.002
        Pipeline transportation,2017,117.391
        Pipeline transportation,2018,119.994
        Pipeline transportation,2019,130.682
        Pipeline transportation,2020,136.799
        Other transportation and support activities,2010,89.313
        Other transportation and support activities,2011,95.032
        Other transportation and support activities,2012,100.0
        Other transportation and support activities,2013,104.704
        Other transportation and support activities,2014,108.988
        Other transportation and support activities,2015,115.321
        Other transportation and support activities,2016,116.918
        Other transportation and support activities,2017,118.311
        Other transportation and support activities,2018,120.22
        Other transportation and support activities,2019,126.596
        Other transportation and support activities,2020,128.91
        Warehousing and storage,2010,110.044
        Warehousing and storage,2011,104.468
        Warehousing and storage,2012,100.0
        Warehousing and storage,2013,94.957
        Warehousing and storage,2014,91.688
        Warehousing and storage,2015,94.239
        Warehousing and storage,2016,95.354
        Warehousing and storage,2017,97.733
        Warehousing and storage,2018,101.65
        Warehousing and storage,2019,99.388
        Warehousing and storage,2020,98.215
    Information,2010,100.413
    Information,2011,99.838
    Information,2012,100.0
    Information,2013,100.123
    Information,2014,99.215
    Information,2015,96.653
    Information,2016,94.935
    Information,2017,92.411
    Information,2018,90.882
    Information,2019,90.553
    Information,2020,90.081
"        Publishing industries, except internet (includes software)",2010,98.809
"        Publishing industries, except internet (includes software)",2011,99.436
"        Publishing industries, except internet (includes software)",2012,100.0
"        Publishing industries, except internet (includes software)",2013,101.218
"        Publishing industries, except internet (includes software)",2014,101.677
"        Publishing industries, except internet (includes software)",2015,100.117
"        Publishing industries, except internet (includes software)",2016,98.417
"        Publishing industries, except internet (includes software)",2017,96.545
"        Publishing industries, except internet (includes software)",2018,94.427
"        Publishing industries, except internet (includes software)",2019,94.004
"        Publishing industries, except internet (includes software)",2020,93.686
        Motion picture and sound recording industries,2010,98.694
        Motion picture and sound recording industries,2011,97.864
        Motion picture and sound recording industries,2012,100.0
        Motion picture and sound recording industries,2013,98.189
        Motion picture and sound recording industries,2014,97.167
        Motion picture and sound recording industries,2015,95.845
        Motion picture and sound recording industries,2016,99.034
        Motion picture and sound recording industries,2017,98.737
        Motion picture and sound recording industries,2018,99.331
        Motion picture and sound recording industries,2019,97.199
        Motion picture and sound recording industries,2020,94.597
        Broadcasting and telecommunications,2010,101.555
        Broadcasting and telecommunications,2011,100.388
        Broadcasting and telecommunications,2012,100.0
        Broadcasting and telecommunications,2013,100.311
        Broadcasting and telecommunications,2014,98.813
        Broadcasting and telecommunications,2015,94.706
        Broadcasting and telecommunications,2016,92.093
        Broadcasting and telecommunications,2017,88.348
        Broadcasting and telecommunications,2018,87.098
        Broadcasting and telecommunications,2019,86.828
        Broadcasting and telecommunications,2020,85.578
"        Data processing, internet publishing, and other information services",2010,100.748
"        Data processing, internet publishing, and other information services",2011,100.248
"        Data processing, internet publishing, and other information services",2012,100.0
"        Data processing, internet publishing, and other information services",2013,98.963
"        Data processing, internet publishing, and other information services",2014,97.748
"        Data processing, internet publishing, and other information services",2015,97.195
"        Data processing, internet publishing, and other information services",2016,95.255
"        Data processing, internet publishing, and other information services",2017,93.802
"        Data processing, internet publishing, and other information services",2018,91.544
"        Data processing, internet publishing, and other information services",2019,91.756
"        Data processing, internet publishing, and other information services",2020,92.95
"    Finance, insurance, real estate, rental, and leasing",2010,96.326
"    Finance, insurance, real estate, rental, and leasing",2011,97.615
"    Finance, insurance, real estate, rental, and leasing",2012,100.0
"    Finance, insurance, real estate, rental, and leasing",2013,102.739
"    Finance, insurance, real estate, rental, and leasing",2014,106.493
"    Finance, insurance, real estate, rental, and leasing",2015,109.863
"    Finance, insurance, real estate, rental, and leasing",2016,113.7
"    Finance, insurance, real estate, rental, and leasing",2017,117.198
"    Finance, insurance, real estate, rental, and leasing",2018,122.003
"    Finance, insurance, real estate, rental, and leasing",2019,125.106
"    Finance, insurance, real estate, rental, and leasing",2020,128.68
        Finance and insurance,2010,93.953
        Finance and insurance,2011,96.106
        Finance and insurance,2012,100.0
        Finance and insurance,2013,104.419
        Finance and insurance,2014,111.228
        Finance and insurance,2015,114.822
        Finance and insurance,2016,120.474
        Finance and insurance,2017,125.609
        Finance and insurance,2018,135.209
        Finance and insurance,2019,137.592
        Finance and insurance,2020,141.936
"            Federal Reserve banks, credit intermediation, and related activities",2010,96.141
"            Federal Reserve banks, credit intermediation, and related activities",2011,95.703
"            Federal Reserve banks, credit intermediation, and related activities",2012,100.0
"            Federal Reserve banks, credit intermediation, and related activities",2013,105.509
"            Federal Reserve banks, credit intermediation, and related activities",2014,114.021
"            Federal Reserve banks, credit intermediation, and related activities",2015,119.419
"            Federal Reserve banks, credit intermediation, and related activities",2016,131.264
"            Federal Reserve banks, credit intermediation, and related activities",2017,143.956
"            Federal Reserve banks, credit intermediation, and related activities",2018,160.772
"            Federal Reserve banks, credit intermediation, and related activities",2019,166.947
"            Federal Reserve banks, credit intermediation, and related activities",2020,167.958
"            Securities, commodity contracts, and investments",2010,84.037
"            Securities, commodity contracts, and investments",2011,94.041
"            Securities, commodity contracts, and investments",2012,100.0
"            Securities, commodity contracts, and investments",2013,109.154
"            Securities, commodity contracts, and investments",2014,123.692
"            Securities, commodity contracts, and investments",2015,127.234
"            Securities, commodity contracts, and investments",2016,126.939
"            Securities, commodity contracts, and investments",2017,135.287
"            Securities, commodity contracts, and investments",2018,144.216
"            Securities, commodity contracts, and investments",2019,147.049
"            Securities, commodity contracts, and investments",2020,154.82
            Insurance carriers and related activities,2010,96.779
            Insurance carriers and related activities,2011,98.521
            Insurance carriers and related activities,2012,100.0
            Insurance carriers and related activities,2013,101.211
            Insurance carriers and related activities,2014,103.14
            Insurance carriers and related activities,2015,104.368
            Insurance carriers and related activities,2016,105.236
            Insurance carriers and related activities,2017,103.619
            Insurance carriers and related activities,2018,107.329
            Insurance carriers and related activities,2019,106.069
            Insurance carriers and related activities,2020,111.576
"            Funds, trusts, and other financial vehicles",2010,86.225
"            Funds, trusts, and other financial vehicles",2011,73.045
"            Funds, trusts, and other financial vehicles",2012,100.0
"            Funds, trusts, and other financial vehicles",2013,78.43
"            Funds, trusts, and other financial vehicles",2014,68.455
"            Funds, trusts, and other financial vehicles",2015,83.359
"            Funds, trusts, and other financial vehicles",2016,130.334
"            Funds, trusts, and other financial vehicles",2017,100.431
"            Funds, trusts, and other financial vehicles",2018,109.679
"            Funds, trusts, and other financial vehicles",2019,122.706
"            Funds, trusts, and other financial vehicles",2020,124.898
        Real estate and rental and leasing,2010,97.584
        Real estate and rental and leasing,2011,98.422
        Real estate and rental and leasing,2012,100.0
        Real estate and rental and leasing,2013,101.845
        Real estate and rental and leasing,2014,104.0
        Real estate and rental and leasing,2015,107.251
        Real estate and rental and leasing,2016,110.081
        Real estate and rental and leasing,2017,112.68
        Real estate and rental and leasing,2018,114.927
        Real estate and rental and leasing,2019,118.404
        Real estate and rental and leasing,2020,121.568
            Real estate,2010,97.624
            Real estate,2011,98.404
            Real estate,2012,100.0
            Real estate,2013,101.942
            Real estate,2014,104.341
            Real estate,2015,108.109
            Real estate,2016,111.464
            Real estate,2017,114.352
            Real estate,2018,116.665
            Real estate,2019,120.541
            Real estate,2020,124.102
                Housing,2010,96.898
                Housing,2011,98.064
                Housing,2012,100.0
                Housing,2013,102.234
                Housing,2014,105.111
                Housing,2015,108.595
                Housing,2016,112.315
                Housing,2017,116.133
                Housing,2018,119.598
                Housing,2019,123.836
                Housing,2020,127.56
                Other real estate,2010,100.764
                Other real estate,2011,99.797
                Other real estate,2012,100.0
                Other real estate,2013,100.842
                Other real estate,2014,101.51
                Other real estate,2015,106.339
                Other real estate,2016,108.307
                Other real estate,2017,107.732
                Other real estate,2018,105.977
                Other real estate,2019,108.606
                Other real estate,2020,111.584
            Rental and leasing services and lessors of intangible assets,2010,97.128
            Rental and leasing services and lessors of intangible assets,2011,98.633
            Rental and leasing services and lessors of intangible assets,2012,100.0
            Rental and leasing services and lessors of intangible assets,2013,100.778
            Rental and leasing services and lessors of intangible assets,2014,100.323
            Rental and leasing services and lessors of intangible assets,2015,98.453
            Rental and leasing services and lessors of intangible assets,2016,96.546
            Rental and leasing services and lessors of intangible assets,2017,96.644
            Rental and leasing services and lessors of intangible assets,2018,98.293
            Rental and leasing services and lessors of intangible assets,2019,98.527
            Rental and leasing services and lessors of intangible assets,2020,98.442
    Professional and business services,2010,97.735
    Professional and business services,2011,98.768
    Professional and business services,2012,100.0
    Professional and business services,2013,101.379
    Professional and business services,2014,101.757
    Professional and business services,2015,103.882
    Professional and business services,2016,104.927
    Professional and business services,2017,105.788
    Professional and business services,2018,106.331
    Professional and business services,2019,107.372
    Professional and business services,2020,108.288
"        Professional, scientific, and technical services",2010,97.307
"        Professional, scientific, and technical services",2011,98.672
"        Professional, scientific, and technical services",2012,100.0
"        Professional, scientific, and technical services",2013,101.415
"        Professional, scientific, and technical services",2014,101.907
"        Professional, scientific, and technical services",2015,103.812
"        Professional, scientific, and technical services",2016,104.285
"        Professional, scientific, and technical services",2017,105.421
"        Professional, scientific, and technical services",2018,106.318
"        Professional, scientific, and technical services",2019,107.491
"        Professional, scientific, and technical services",2020,108.433
            Legal services,2010,91.891
            Legal services,2011,96.218
            Legal services,2012,100.0
            Legal services,2013,104.48
            Legal services,2014,108.863
            Legal services,2015,113.075
            Legal services,2016,115.907
            Legal services,2017,120.471
            Legal services,2018,123.772
            Legal services,2019,129.201
            Legal services,2020,137.024
            Computer systems design and related services,2010,101.954
            Computer systems design and related services,2011,101.525
            Computer systems design and related services,2012,100.0
            Computer systems design and related services,2013,99.064
            Computer systems design and related services,2014,97.73
            Computer systems design and related services,2015,96.352
            Computer systems design and related services,2016,94.755
            Computer systems design and related services,2017,93.059
            Computer systems design and related services,2018,91.604
            Computer systems design and related services,2019,91.17
            Computer systems design and related services,2020,90.071
"            Miscellaneous professional, scientific, and technical services",2010,97.538
"            Miscellaneous professional, scientific, and technical services",2011,98.485
"            Miscellaneous professional, scientific, and technical services",2012,100.0
"            Miscellaneous professional, scientific, and technical services",2013,101.339
"            Miscellaneous professional, scientific, and technical services",2014,101.39
"            Miscellaneous professional, scientific, and technical services",2015,103.867
"            Miscellaneous professional, scientific, and technical services",2016,104.504
"            Miscellaneous professional, scientific, and technical services",2017,105.885
"            Miscellaneous professional, scientific, and technical services",2018,107.174
"            Miscellaneous professional, scientific, and technical services",2019,108.006
"            Miscellaneous professional, scientific, and technical services",2020,108.242
        Management of companies and enterprises,2010,98.385
        Management of companies and enterprises,2011,98.995
        Management of companies and enterprises,2012,100.0
        Management of companies and enterprises,2013,100.822
        Management of companies and enterprises,2014,98.362
        Management of companies and enterprises,2015,100.179
        Management of companies and enterprises,2016,99.774
        Management of companies and enterprises,2017,98.736
        Management of companies and enterprises,2018,96.987
        Management of companies and enterprises,2019,95.008
        Management of companies and enterprises,2020,93.329
        Administrative and waste management services,2010,98.396
        Administrative and waste management services,2011,98.867
        Administrative and waste management services,2012,100.0
